pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
1393.32 0.34388 2.48806 649.696 -0.597795 -0.217919 2133.27 1823.09 0.557142 0.184334 0.557714 0.870811 860.256 -0.923292 0.0453377 2126.87 0.790486 92.9047
1032.74 -0.229614 0.112547 697.86 0.419949 -2.9304 1826.43 1661.01 0.612391 0.475697 0.802691 0.738011 361.716 -3.13594 0.0529359 1743.32 0.781496 92.9047
683.025 0.834158 -1.17436 619.681 0.66981 1.81553 1334.58 1249.09 0.822618 0.612825 0.744999 0.863886 258.535 1.57043 0.26218 1526.63 0.10492 92.9047
858.514 0.582788 1.15637 556.886 -2.22727 -1.78654 2988.77 2978.12 0.249786 0.70693 0.681789 0.698098 250.349 -2.25071 0.375041 1489.16 0.86914 92.9047
563.345 -0.355127 -0.559253 562.394 1.51033 -2.92871 1614.73 1570.53 0.733645 0.344056 0.771622 0.562229 61.366 0.993969 0.386906 1637.56 0.540489 92.9047
688.309 1.41552 -2.84802 625.318 -0.47265 0.395833 1952.35 1952.52 0.607224 0.586943 0.609783 0.732039 102.319 -1.17878 1.57865 1394.06 0.982792 92.9047
1048.13 -1.41841 0.445311 844.633 -0.8733 -2.99029 1960.66 1895.92 0.314786 0.537002 0.491981 0.694447 247.888 -2.50824 0.218386 2133.7 0.897244 92.9047
533.33 0.351131 -1.01109 477.157 -0.789291 2.81538 1199.82 827.563 0.568708 0.418545 0.787614 0.701378 340.912 1.08705 1.18251 1011.05 0.502009 92.9047
883.463 0.383723 -0.611194 840.904 -0.506504 2.62582 1914.35 1735.32 0.532848 0.242408 0.396753 0.791581 292.2 1.24644 0.087978 2156.95 0.538591 92.9047
384.188 1.28288 1.9836 329.436 -0.0551354 -1.6724 862.158 855.47 0.668184 0.43178 0.635686 0.29265 457.648 0.190776 1.78495 989.88 0.712204 92.9047
519.025 -0.767281 2.1682 391.826 -1.44268 -1.1385 954.592 942.617 0.480689 0.71646 0.327392 0.831357 191.569 0.594564 0.0520758 1375.51 0.398081 92.9047
803.944 0.859554 1.67402 746.018 -0.553623 -1.65126 1950.84 1972.43 0.41788 0.171404 0.507083 0.706367 157.849 -0.236246 1.41481 1567.67 0.0993205 92.9047
1209.61 0.532069 2.41354 488.537 -0.737168 -0.0849059 1849.65 1422.06 0.117734 0.316234 0.804992 0.547603 763.411 -0.89829 0.46805 1919.79 0.615236 92.9047
676.879 -0.444583 1.78477 587.193 0.0960595 -1.45509 1316.48 1310.44 0.581741 0.63153 0.738688 0.725057 76.5896 -1.35608 0.105226 1365.87 0.0961855 92.9047
952.076 -1.42546 -2.8547 626.719 0.477982 1.24171 2195.21 2190.02 0.681332 0.801067 0.743029 0.836677 253.07 -0.120552 0.147928 2195.96 0.547964 92.9047
581.484 -1.87696 0.195549 407.784 -0.983891 -2.19119 1023.15 998.915 0.804395 0.749384 0.798182 0.717598 292.09 3.06243 0.15213 1176.95 0.90131 92.9047
867.922 -1.22556 -0.33259 561.543 0.113649 2.13727 1680.71 1623.32 0.59291 0.744558 0.418454 0.876906 508.02 -2.82896 0.103512 1475.62 0.957516 92.9047
784.768 0.312906 2.76307 326.606 0.251053 -1.70576 814.938 804.294 0.72236 0.492409 0.739707 0.273768 728.119 -0.293245 0.0622336 1423.88 0.881143 92.9047
423.505 -0.0602297 -2.58918 250.514 -1.68372 -2.12172 645.441 512.159 0.65069 0.407651 0.742785 0.324474 594.008 0.651198 0.315589 755.83 0.385835 92.9047
798.084 0.690903 -2.34105 334.617 0.397308 1.02956 1057.33 1016.94 0.688859 0.757396 0.685069 0.677849 461.648 0.752649 0.290019 1242.95 0.428065 92.9047
643.665 -1.0361 2.75075 250.048 -1.10751 -0.865914 805.568 706.852 0.443505 0.770292 0.505172 0.826493 390.104 -0.607049 0.276426 1106.02 0.438187 92.9047
847.68 -0.245853 -2.52529 707.078 -1.22173 1.0093 1753.68 1613.24 0.432868 0.653589 0.691681 0.745764 236.211 -0.268825 0.235295 1667.36 0.843684 92.9047
735.953 -0.449714 1.69968 278.549 0.151445 -1.00272 952.799 812.736 0.603194 0.365122 0.609783 0.667153 627.825 -1.8549 0.358416 1183.18 0.860064 92.9047
753.194 0.910559 -0.0221024 612.754 -0.394214 -2.67434 1656.37 1297.37 0.275411 0.117394 0.61481 0.719304 710.131 1.87387 1.73497 1786.55 0.857003 92.9047
541.447 -0.874635 3.01594 496.832 -0.767705 -0.0606624 1041 1050.49 0.422612 0.643828 0.911848 0.836899 225.467 -1.48919 0.162739 1403.69 0.682352 92.9047
837 -0.545371 1.49909 287.082 1.72666 2.93691 1519.74 1447.37 0.214091 0.810962 0.742263 0.706658 797.043 -1.25261 0.414287 1233.6 0.82441 92.9047
470.405 -1.08562 0.866317 300.547 0.0959355 -0.216308 628.165 592.001 0.71269 0.851432 0.657493 0.854161 620.566 -2.7868 1.1892 850.084 0.507673 92.9047
449.241 0.916425 -0.0789254 381.837 0.720552 2.52911 807.914 810.657 0.446333 0.496515 0.395421 0.66482 129.283 -2.34359 0.0966368 944.516 0.761694 92.9047
731.136 1.47744 -1.64532 730.058 0.647828 1.82239 1601.1 1515.39 0.404853 0.494002 0.797836 0.702273 242.158 0.10601 1.68633 1463.12 0.995916 92.9047
1094.97 1.13948 2.36224 402.318 -0.444762 -0.611553 1775.13 1757.01 0.567759 0.352524 0.659164 0.67394 638.974 -0.944919 0.140543 1732.83 0.912361 -92.9047
456.378 0.676247 1.78665 397.853 -0.645791 -3.00565 842.185 842.349 0.584144 0.549635 0.820682 0.468023 430.204 -0.741558 0.138463 1020.41 0.923425 92.9047
449.187 -0.0362512 0.38559 441.631 1.57256 2.23092 1076.47 1071.4 0.423414 0.460737 0.702395 0.738797 530.155 -2.10731 1.63247 1034.73 0.934781 92.9047
564.697 -0.343775 -0.281774 425.447 0.43731 -2.29238 995.566 681.489 0.91543 0.27371 0.685298 0.645813 524.412 2.08642 1.4877 1026.47 0.892268 92.9047
940.897 0.562456 -0.548567 596.596 1.09469 -2.72005 1426.46 1375.66 0.71123 0.628146 0.665463 0.72377 584.185 2.01153 0.353364 1761 0.712488 92.9047
371.944 0.234594 1.98866 267.289 1.67439 -0.580201 802.334 332.496 0.598798 0.724435 0.695481 0.679609 349.249 -1.39537 0.43459 939.173 0.817389 92.9047
626.19 -0.0243501 2.20346 551.086 -0.443963 -0.239644 1145.09 1128.94 0.808317 0.679538 0.70253 0.758011 394.547 -1.89981 1.49641 1205.98 0.988012 92.9047
428.24 -1.9375 2.6925 381.325 1.76209 0.632613 2602.19 2569.33 0.676301 0.473987 0.775412 0.698853 346.733 -1.8311 0.648522 1017.26 0.855077 92.9047
532.44 -0.236711 -0.056517 362.531 0.840826 2.11321 967.701 818.577 0.450394 0.327805 0.482724 0.614658 529.322 -2.48213 1.61997 1018.11 0.80465 92.9047
503.018 -1.7396 0.773801 485.729 -0.689279 -2.53878 1131.22 1134.92 0.432438 0.39837 0.680244 0.681859 64.9204 1.19301 0.419084 1374.48 0.0853365 92.9047
754.659 0.529453 -0.972462 278.679 -0.464054 1.96342 1048.6 971.489 0.354473 0.630364 0.540412 0.696476 507.936 2.28684 0.299412 1040.7 0.489413 92.9047
711.958 -0.0138179 -0.108815 306.745 -0.201426 2.90845 942.706 936.99 0.248649 0.796121 0.814781 0.791951 307.569 3.06419 0.139884 1115.37 0.412291 92.9047
733.87 -0.476961 -1.77885 304.219 -0.988687 0.585886 937.559 869.097 0.602477 0.723124 0.51755 0.777217 408.951 1.21021 0.330073 1365.87 0.900461 92.9047
681.989 -0.510062 -2.36234 367.839 -0.221024 0.410284 1007.18 963.152 0.480458 0.815778 0.445025 0.575221 382.134 0.494861 0.0564929 1275.96 0.377102 92.9047
668.584 -2.02679 -1.29808 421.68 0.372683 -2.8314 1773.05 1743.03 0.533264 0.847569 0.684284 0.820343 849.304 1.18372 0.12665 1296.33 0.703343 92.9047
817.987 0.551396 -1.99979 568.739 -0.64695 0.468719 1561.69 1556.5 0.549721 0.348244 0.590325 0.729096 430.29 1.94051 0.100211 1467.51 0.929305 92.9047
463.217 0.257631 -1.95984 332.007 -0.489177 1.38366 848.183 810.71 0.430234 0.659332 0.725591 0.812535 244.078 1.58213 0.225962 1090.91 0.206349 92.9047
924.711 -1.13742 2.60421 494.904 -1.04563 0.362681 1223.37 1235.5 0.467072 0.230094 0.877818 0.626195 681.348 -1.14255 0.54474 1499.42 0.874198 92.9047
823.153 0.534533 1.48032 642.025 -0.11509 -1.03935 1499.61 1327.53 0.601258 0.251756 0.530654 0.839634 475.485 -2.70104 1.43945 1557.05 0.847056 92.9047
685.169 0.39987 2.10574 673.648 -0.150518 -0.0679934 1275.46 1233.34 0.492322 0.727523 0.833665 0.782027 658.928 -1.92624 1.85853 1491.19 0.469062 92.9047
747.786 0.688603 0.350042 705.805 1.00179 3.07301 1468.16 1394.51 0.536243 0.692101 0.729463 0.826178 305.438 -1.5296 1.33382 1447.11 0.896855 92.9047
1118.01 -0.631045 -0.452446 806.946 0.0231228 2.73774 2007.38 2022.1 0.254267 0.412558 0.627912 0.673887 258.457 2.53031 0.207768 2110.24 0.161231 -92.9047
683.205 -1.31154 1.32324 566.168 0.334581 -1.44086 1682.46 1686.54 0.610916 0.611061 0.72086 0.473628 610.821 3.01604 1.44311 1706.86 0.911017 92.9047
734.852 -0.445792 0.787026 507.12 2.19429 -2.26576 2459.25 2043.03 0.345405 0.273932 0.856517 0.941507 64.6845 -2.68808 0.230325 1491.01 0.581144 92.9047
697.688 -0.312852 -0.65643 288.638 -0.530289 1.72737 861.878 925.165 0.582301 0.196326 0.621697 0.893056 455.879 -3.07152 1.21261 1195.1 0.692547 92.9047
602.846 0.479591 -0.39179 591.212 0.70486 -3.06053 1196.64 1089.69 0.739018 0.736841 0.749387 0.694457 273.198 1.47833 1.08733 1206.7 0.213496 92.9047
1187.08 -0.0827146 0.406288 600.144 -1.40045 2.68744 1965.6 1937.52 0.293444 0.722174 0.577904 0.635018 876.893 -2.49601 1.09467 2041.71 0.5132 92.9047
