pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
1566.07 0.622445 -0.337768 1426.96 0.950611 -2.87723 2933.5 2833.7 0.559335 0.384393 0.521471 0.793017 393.148 -0.134384 0.199923 4044.84 0.934664 2.71029 0.0996691
2138.57 -0.545896 1.26231 1210.99 1.06701 -0.494507 3827.94 3692.96 0.40158 0.572654 0.83529 0.615091 457.019 -3.02786 0.155129 5857.13 0.572319 2.7824 0.0996691
2689.99 0.748592 -1.99101 2374.73 -0.8329 0.903183 6770.08 6475.17 0.414302 0.631083 0.57196 0.375516 700.497 -0.297915 0.385496 6914.64 0.652787 2.51315 0.0996691
1964.13 0.495036 -0.465707 1223.36 -1.15664 1.66636 4027.17 2529.32 0.534948 0.0885934 0.817162 0.611366 1336.62 -2.55981 1.2419 3855.25 0.84977 2.86052 -0.0996691
734.563 -0.271969 2.04411 423.322 0.217044 -1.11527 1189.86 1025.68 0.537653 0.811002 0.682832 0.632498 304.183 -1.12824 0.0160237 1080.37 0.348644 3.10147 0.0996691
1379.4 0.386394 -1.34912 1122.36 -0.694981 1.11693 2754.1 2713.47 0.309103 0.376836 0.441232 0.481942 360.723 1.17398 0.0532073 3459.7 0.347101 2.46723 0.0996691
2699.3 0.785285 -1.00358 2059.65 -0.0649829 2.24246 5623.9 3497.49 0.175741 0.11137 0.254163 0.414694 777.449 1.6199 0.3428 5373.86 0.341961 2.66833 0.0996691
663.939 0.175602 -3.0129 648.847 -1.64233 -2.21684 1461.08 1438.44 0.395299 0.730859 0.375635 0.877531 1102.87 0.553728 0.227061 1401.43 0.76301 2.54501 0.0996691
1608.01 -0.151692 2.8629 1264.34 -0.391801 -0.289677 3068.93 1879.91 0.178049 0.416337 0.886047 0.636335 260.61 -0.277221 0.214065 3047.11 0.390597 3.01023 0.0996691
2936.01 0.147276 -0.561387 2439.4 -0.0259605 2.67908 5675.43 3751.17 0.0972174 0.106582 0.697715 0.411188 450.413 2.08249 0.222554 5467.94 0.834841 2.99853 0.0996691
