pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
416.731 -0.295347 0.316982 336.111 -0.727659 2.7323 728.718 716.316 0.539344 0.639393 0.782758 0.602769 214.91 -2.91007 0.636406 969.039 0.370554 92.9047
998.972 0.468811 -3.08373 908.516 -0.807413 0.00846024 2330.81 2261.07 0.160375 0.441989 0.713267 0.279391 70.0092 -0.978704 0.270135 2317.83 0.286348 92.9047
637.354 -0.187036 -2.50448 518.551 0.779438 0.246158 1276.69 1274.56 0.609039 0.520594 0.630015 0.589643 22.6844 -2.81443 0.314544 2031.26 0.216943 92.9047
630.77 1.26711 -2.74315 467.061 0.570949 1.06678 1107.38 1085.17 0.585317 0.371128 0.739508 0.651202 368.611 0.412551 0.664442 1386.92 0.367034 92.9047
410.164 -0.96844 -0.559227 274.375 -0.332085 2.04905 699.55 669.507 0.416756 0.489065 0.51694 0.64303 311.61 -3.07109 1.18693 970.109 0.348588 92.9047
745.213 -1.19034 2.5223 579.407 0.341822 0.0926095 1662.7 1669.33 0.706596 0.484428 0.706242 0.651691 319.957 -1.29452 0.555623 1573.02 0.731896 92.9047
878.615 -0.949699 1.24398 438.325 -1.60061 -2.7456 1207.71 1222.05 0.207384 0.354793 0.324037 0.390324 788.474 -1.26328 0.0201234 1612.78 0.708061 92.9047
655.269 0.272427 0.108759 562.572 -0.625664 3.02908 1341.27 1324.83 0.00998302 0.627436 0 0.683358 76.1943 -3.05922 0.207381 1963.36 0.149879 92.9047
716.098 -0.497743 -2.37294 690.412 -0.664891 1.46852 1332.41 1326.72 0.660962 0.688142 0.70354 0.651246 454.895 -0.382477 1.85334 1407.03 0.345611 92.9047
483.33 0.670673 -1.57846 336.395 0.593378 2.16343 789.183 746.006 0.490215 0.582115 0.204715 0.716455 299.964 0.405192 0.32718 994.385 0.502895 92.9047
819.332 0.176124 1.43922 567.822 0.730794 -2.1668 1392.18 1392.3 0.322158 0.210759 0.635719 0.68085 616.569 -0.535874 1.63212 1660.82 0.920999 92.9047
889.026 0.841741 2.04349 444.957 0.227191 -0.973721 1330.86 1290.36 0.62504 0.567785 0.738682 0.557261 383.594 -1.28107 0.212755 1399.84 0.938006 92.9047
981.09 -0.761874 -1.86787 927.505 -0.963039 1.40603 1951.53 1769.89 0.458359 0.384478 0.395608 0.794075 137.607 0.194147 0.297434 1967.62 0.931675 92.9047
517.071 -0.411297 -0.0677995 325.544 1.45663 0.687229 938.953 934.122 0.804566 0.612375 0.906665 0.488538 317.098 3.056 0.178325 1403.92 0.299098 92.9047
1586.16 -0.824625 2.09774 1232.74 0.0419074 -1.22807 3094.44 3015.22 0.0297293 0.311365 0.402105 0.576915 465.961 -0.348881 0.182 2890.57 0.97828 92.9047
701.713 1.15313 -0.278542 288.844 1.58039 2.52069 919.9 873.01 0.0797025 0.641871 0.689682 0.792071 480.825 2.70513 0.185251 1194.82 0.486515 92.9047
