pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
2028.4 -0.342948 -0.486774 1489.73 -0.195826 1.36573 2898.83 2559.9 0.27196 0.508538 0.768056 0.393991 1287.76 -2.96726 0.138852 4469.22 0.503835 2.41123 0.0996691
1559.14 -1.19767 -1.96564 -1 -1 -1 -1 1108.76 0.263951 -1 0.456866 -1 1334.36 1.17065 0.00763954 1798.6 0.732813 3.08686 0.0996691
1811.82 0.223142 1.19177 1076.39 0.157619 -1.29575 2707.03 2660.68 0.451786 0.616007 0.81821 0.797031 335.757 -2.14574 0.570421 3753.23 0.492605 2.38362 0.0996691
1637.31 -0.312191 -1.9679 -1 -1 -1 -1 1206.61 0.161115 -1 0.809579 -1 1717.86 1.27108 0.280369 1925.31 0.91545 2.76463 0.0996691
2361.82 0.118374 -0.280151 1172.81 0.375848 2.05969 3123.91 3095.49 0.386382 0.654961 0.586265 0.73229 598.636 1.69088 0.374298 5492.01 0.625652 1.80738 -0.0996691
1649.43 0.0501519 -2.67016 1397.68 0.256839 0.402927 3066.85 3048.2 0.418235 0.812588 0.426226 0.795651 340.991 0.370059 0.0343412 3204.68 0.0952178 3.07456 0.0996691
1351.95 0.687376 -1.055 1060.65 0.712639 1.96863 2421.4 2362.4 0.532407 0.53835 0.724261 0.549869 387.032 2.17532 0.206658 2556.87 0.110053 3.06049 0.0996691
429.372 -1.0972 1.51092 -1 -1 -1 -1 261.531 0.709119 -1 0.709156 -1 398.124 -1.61689 0.0214389 465.752 0.846495 3.10614 0.0996691
594.478 -0.318313 -0.276602 -1 -1 -1 -1 645.56 0.653802 -1 0.825753 -1 450.061 2.93003 0.215304 738.915 0.622365 2.9913 0.0996691
1694.06 -0.332388 2.73221 409.781 1.10635 -0.907854 2100.81 2042.48 0.719374 0.627997 0.680163 0.690224 992.414 -0.257214 0.0311543 2414.36 0.695305 3.02148 0.0996691
2489.88 -0.0655318 1.66296 2146.6 -0.208103 -0.714896 4341.16 4249 0.457948 0.577051 0.330041 0.625748 313.198 -2.7574 0.0701536 6227.81 0.61172 1.97397 -0.0996691
454.001 1.38296 -1.86682 -1 -1 -1 -1 460.191 0.624091 -1 0.774595 -1 376.116 1.25535 0.17501 539.697 0.673012 2.97659 0.0996691
1624.72 -1.21381 1.25894 987.584 -0.35481 -2.24139 2758.17 2704.21 0.620989 0.437309 0.51354 0.67178 383.425 -1.2805 0.936965 3679.71 0.302235 2.80547 0.0996691
1543.16 -0.816524 2.31768 671.768 -2.34056 -1.98984 2416.35 2422.97 0.241862 0.335694 0.578012 0.539335 1092.44 -0.605748 0.0411786 2676.51 0.904714 2.88225 0.0996691
2187.29 0.988382 0.936478 1858.6 -0.228075 -2.15245 4941.29 4710.65 0.701672 0.248586 0.613195 0.796683 1099.21 -2.3823 0.231824 4754.03 0.40793 2.97429 0.0996691
1941.67 0.0587483 1.24207 1883.14 0.490955 -1.0668 3623.3 3630.43 0.355393 0.645279 0.470345 0.513973 1248.85 -2.52345 0.343623 4624.25 0.967228 2.86128 0.0996691
1498.56 0.850982 2.60848 1455.74 0.566429 -0.315457 2972.04 2978.3 0.772993 0.336615 0.546402 0.38152 317.533 -1.84896 1.53338 2961.15 0.109628 2.92383 0.0996691
979.819 -0.269254 -0.432292 720.945 0.850469 2.61981 1958.14 1958.4 0.602996 0.583852 0.657614 0.329658 271.421 2.94705 0.327242 1703.33 0.155667 3.04909 0.0996691
1229.85 -0.0535026 0.560408 412.141 -0.708456 -2.68314 1544.3 1549.32 0.295614 0.373162 0.779668 0.501454 1184.71 -2.56016 0.123369 1920.95 0.499117 3.03968 0.0996691
1850.05 0.0943567 -0.514491 1263.95 -0.776221 1.42513 2931.61 2850.6 0.46935 0.637955 0.717393 0.786833 2309.46 -2.88035 1.96068 3552.99 0.922264 0.887449 0.0996691
1618.15 0.593843 0.92483 1334.93 -0.300849 -2.22251 3343.44 3304.8 0.31724 0.505393 0.688005 0.611144 318.257 -2.11459 0.11982 2932.98 0.106608 3.12395 0.0996691
2716.95 -0.0372187 2.28868 2505.58 0.42248 -0.420428 5261.97 5225.62 0.816386 0.347421 0.7787 0.544409 538.645 -2.6245 0.0945286 6927.37 0.439147 2.24696 -0.0996691
2140.96 -0.171062 -1.32106 1911.98 -0.175769 2.69258 3712.63 3686.97 0.519653 0.669493 0.681867 0.748048 1052.48 0.310833 0.270476 4997.33 0.943983 2.11175 -0.0996691
361.64 0.629761 -1.25633 -1 -1 -1 -1 420.283 0.546609 -1 0.829256 -1 281.184 1.8394 0.0744265 429.93 0.659522 3.10702 0.0996691
1339.14 0.652112 2.57498 1127.83 0.828472 0.159373 2407.74 2249.03 0.434244 0.0743329 0.643572 0.6503 1029.22 -0.300423 0.241022 3624.54 0.515282 2.63382 -0.0996691
1694.67 0.0830699 -2.32801 1404.45 -0.426303 2.05684 2652.62 2631.04 0.18041 0.601888 0.869647 0.857504 254.708 2.04995 0.00332109 5046.62 0.541891 2.31523 0.0996691
