pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 32.583 1.97108 0.162957 91.9612 0.0996691
521.38 -1.25036 2.96764 353.067 -2.21256 -0.114815 1042.41 0.681117 0.680909 0.862549 0.857612 136.965 -0.0862357 0.188979 983.734 0.0996691
1172.57 0.67175 1.91479 918.01 -0.594109 -0.8588 2514.4 0.473861 0.676557 0.688517 0.817839 112.724 1.62602 0.0370531 3185.03 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 178.838 2.78907 0.191792 359.317 0.0996691
1033.8 0.91607 0.623849 784.454 -1.45483 3.07653 3196.14 0.625599 0.674563 0.668841 0.794583 71.2689 -2.67832 0.0821123 2515.16 0.0996691
2012.87 -0.760553 -1.58436 1193.87 -0.0775575 1.87937 3369.81 0.805559 0.508895 0.816527 0.589025 1021.17 1.20999 0.0776057 3387.48 0.0996691
252.946 -1.24196 -0.97947 -1 -1 -1 -1 0.756123 -1 0.819542 -1 72.1534 2.44096 0.0110526 364.079 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 27.6003 -3.08852 0.341205 359.112 0.0996691
1490.67 -1.03044 2.95946 796.212 2.22881 0.357717 5780.72 0.778001 0.820765 0.815928 0.804363 811.484 -0.327413 0.0755805 2467.41 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 36.8772 -1.80286 0.314152 378.114 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 30.0354 -2.76338 0.455438 211.717 0.0996691
339.807 0.538336 -2.42415 -1 -1 -1 -1 0.813885 -1 0.743285 -1 206.812 0.599252 0.109224 538.111 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 43.7609 -2.00233 0.0589345 251.664 0.0996691
445.701 -1.28442 2.63836 362.537 0.76798 -0.560133 1286.7 0.713863 0.744141 0.723971 0.758962 45.0399 -2.40137 0.152561 1169.88 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 38.9945 -1.16902 0.00287688 193.85 0.0996691
1627.06 0.0958443 2.15759 1589.93 1.1289 -0.0802936 3424.66 0.799771 0.495151 0.668366 0.770407 1898.21 -3.07657 0.0109553 4609.05 0.0996691
443.556 1.21821 0.269214 438.776 -0.197245 -2.80753 1168.07 0.805052 0.766977 0.852601 0.790992 8.61998 -0.810869 0.052043 852.702 0.0996691
922.505 -0.916413 -1.29156 740.173 1.64217 1.43568 3235.09 0.777023 0.451344 0.835401 0.842986 461.573 2.96975 0.157724 1745.17 0.0996691
1085.76 -1.55842 1.14698 886.338 -0.277051 -0.0193831 1831.93 0.700616 0.51235 0.910308 0.840223 1334.04 -2.18565 0.131637 2696.5 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 69.7386 -0.603172 0.0826571 302.853 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 39.7522 -0.121992 0.0950614 240.458 0.0996691
1839.18 0.168961 -1.23398 1766.15 0.695153 0.816676 3344.18 0.564551 0.509271 0.842677 0.754243 664.924 -2.93707 0.0430658 5564.21 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 23.4654 -1.75431 0.0522481 356.438 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 136.548 -0.679542 0.185752 346.077 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 56.9383 -0.632479 0.0409946 360.977 0.0996691
312.228 1.55312 -1.95714 267.883 1.43981 1.27627 631.667 0.788892 0.864182 0.833264 0.790159 65.3644 1.56745 0.102684 607.274 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 67.4633 -1.67376 1.04654 130.996 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 13.5945 -2.56322 0.08127 212.534 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 184.623 -0.353532 0.192564 383.758 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 47.9106 -0.486436 0.0283262 394.119 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 60.3893 -2.4207 0.0546007 339.417 0.0996691
