pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 36.9879 0.668786 0.620077 199.417 1.5571
804.498 0.650587 0.260624 547.941 -1.35776 -2.62898 2085.6 0.566088 0.375516 0.631096 0.786646 190.029 2.98306 0.00905848 1561.79 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 27.3106 -1.55956 0.107431 457.592 1.5571
1388.35 1.82838 2.55881 896.947 -1.09631 0.0307183 5084.27 0.290768 0.810472 0.713894 0.794406 967.597 -1.33021 0.162145 2624.66 1.5571
1112.11 0.634134 -1.6842 -1 -1 -1 -1 0.557898 -1 0.508268 -1 1102.69 1.50529 0.0377089 1429.96 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 37.664 1.40701 1.76136 21.3855 1.5571
1795.08 -0.917029 1.79964 1149.68 -0.0860086 -1.89951 3055.85 0.788634 0.740338 0.805737 0.89737 640.068 -1.16564 0.0472798 3703.24 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 61.7382 0.767186 0.458289 154.061 1.5571
421.249 -1.0816 -2.23088 347.051 1.86244 2.59325 1671.71 0.631739 0.636384 0.586568 0.894587 291.313 0.291738 0.055569 956.824 1.5571
1108.23 -0.703269 -0.116232 1076.09 -1.04451 2.19563 2076.81 0.765291 0.532199 0.841199 0.754663 1066.82 -1.87737 0.183971 2775.32 1.5571
904.664 0.00604221 -0.460396 -1 -1 -1 -1 0.71802 -1 0.680742 -1 812.46 2.70259 0.0911751 1049.89 1.5571
2029.26 -0.501919 -1.35205 356.636 1.59758 1.78641 2752.34 0.693243 0.723503 0.874291 0.821538 1580.86 1.94872 0.0979129 2838.19 -1.5571
1036.61 -0.109212 -1.68866 607.065 1.09758 2.03536 1859.95 0.618609 0.492434 0.831939 0.838716 503.823 1.0545 0.451984 1666.94 -1.5571
1561.03 -0.389409 -1.86123 915.842 -0.301449 0.239123 2147.77 0.46927 0.622707 0.75286 0.809574 1615.87 1.96423 0.0326295 3030.58 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 18.8342 -0.0626808 2.42841 47.93 1.5571
509.151 -1.17879 2.42584 431.129 -0.940103 -2.00467 796.102 0.706624 0.639232 0.83201 0.576059 114.769 -0.0170853 0.110716 1318.62 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 19.6675 1.17497 -1 0 1.5571
388.359 -0.929266 -2.91856 316.315 -1.01725 0.259298 732.262 0.832316 0.724686 0.805914 0.721966 87.7407 0.190399 0.0785994 742.957 1.5571
849.046 1.20321 1.25845 -1 -1 -1 -1 0.432533 -1 0.836472 -1 779.918 -1.90175 0.393587 965.175 1.5571
1630.51 -1.30918 0.893036 1071.14 0.419329 2.48396 3233.69 0.731025 0.628534 0.733712 0.728823 1093.24 -1.69622 0.192903 3464.3 1.5571
669.811 -1.53199 -0.96099 -1 -1 -1 -1 0.723994 -1 0.751171 -1 448.578 2.12612 0.0345619 1549.19 1.5571
1322.26 0.454603 -1.32276 643.361 -2.01327 1.62985 3447.04 0.614021 0.8223 0.748553 0.853405 665.693 2.13814 0.272297 2045.7 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 19.1486 0.257646 -1 0 1.5571
