#: table_doi: 10.17182/hepdata.144506.v1/t2
#: name: $H_{\text{T}}$ distribution
#: description: The post-fit distributions of HT for the SR. Data are compared with background predictions, and six signal predictions covering a representative mediator mass and invisible fraction range are overlaid. The uncertainties include all systematic and statistical components. The last bin contains the overflow.
#: data_file: HT_hd.yaml
#: keyword cmenergies: 13000.0
 $ H_{T}$   [GeV], $ H_{T}$   [GeV] LOW, $ H_{T}$   [GeV] HIGH,"Signal (1 TeV, R$_{inv}$ 0.6) [Events / 100 GeV]"
1450.0,1400,1500,3.3792150020599365
1550.0,1500,1600,3.9656882286071777
1650.0,1600,1700,3.4325525760650635
1750.0,1700,1800,4.314045429229736
1850.0,1800,1900,4.046260833740234
1950.0,1900,2000,5.568840026855469
2050.0,2000,2100,4.746793746948242
2150.0,2100,2200,4.683630466461182
2250.0,2200,2300,4.465269088745117
2350.0,2300,2400,3.6759843826293945
2450.0,2400,2500,3.159379005432129
2550.0,2500,2600,3.2123966217041016
2650.0,2600,2700,2.999262571334839
2750.0,2700,2800,2.7419071197509766
2850.0,2800,2900,3.406534194946289
2950.0,2900,3000,2.2946534156799316
3050.0,3000,3100,2.404797077178955
3150.0,3100,3200,2.6120657920837402
3250.0,3200,3300,2.789555788040161
3350.0,3300,3400,3.0455408096313477
3450.0,3400,3500,1.478284478187561

 $ H_{T}$   [GeV], $ H_{T}$   [GeV] LOW, $ H_{T}$   [GeV] HIGH,Total Bkg. [Events / 100 GeV],stat+syst +,stat+syst -
650.0,600,700,1112.14,49.38,-49.38
750.0,700,800,2770.67,78.83,-78.83
850.0,800,900,2818.88,75.7,-75.7
950.0,900,1000,2235.95,63.85,-63.85
1050.0,1000,1100,1751.53,70.88,-70.88
1150.0,1100,1200,1412.38,43.76,-43.76
1250.0,1200,1300,1087.75,37.5,-37.5
1350.0,1300,1400,860.42,30.5,-30.5
1450.0,1400,1500,724.04,42.18,-42.18
1550.0,1500,1600,554.46,21.73,-21.73
1650.0,1600,1700,420.35,19.41,-19.41
1750.0,1700,1800,334.14,16.41,-16.41
1850.0,1800,1900,260.26,27.97,-27.97
1950.0,1900,2000,234.41,16.67,-16.67
2050.0,2000,2100,180.96,11.46,-11.46
2150.0,2100,2200,160.06,19.98,-19.98
2250.0,2200,2300,124.11,12.58,-12.58
2350.0,2300,2400,89.94,8.35,-8.35
2450.0,2400,2500,86.15,9.81,-9.81
2550.0,2500,2600,60.55,5.63,-5.63
2650.0,2600,2700,59.32,7.66,-7.66
2750.0,2700,2800,42.23,3.65,-3.65
2850.0,2800,2900,36.97,2.84,-2.84
2950.0,2900,3000,26.02,2.8,-2.8
3050.0,3000,3100,22.76,3.37,-3.37
3150.0,3100,3200,17.73,2.22,-2.22
3250.0,3200,3300,18.33,2.08,-2.08
3350.0,3300,3400,12.82,1.2,-1.2
3450.0,3400,3500,7.08,4.62,-4.62

 $ H_{T}$   [GeV], $ H_{T}$   [GeV] LOW, $ H_{T}$   [GeV] HIGH,Data [Events / 100 GeV]
650.0,600,700,972
750.0,700,800,2833
850.0,800,900,2755
950.0,900,1000,2205
1050.0,1000,1100,1794
1150.0,1100,1200,1388
1250.0,1200,1300,1075
1350.0,1300,1400,863
1450.0,1400,1500,721
1550.0,1500,1600,516
1650.0,1600,1700,417
1750.0,1700,1800,327
1850.0,1800,1900,310
1950.0,1900,2000,214
2050.0,2000,2100,189
2150.0,2100,2200,149
2250.0,2200,2300,129
2350.0,2300,2400,89
2450.0,2400,2500,72
2550.0,2500,2600,72
2650.0,2600,2700,58
2750.0,2700,2800,37
2850.0,2800,2900,41
2950.0,2900,3000,36
3050.0,3000,3100,26
3150.0,3100,3200,19
3250.0,3200,3300,17
3350.0,3300,3400,10
3450.0,3400,3500,9

