pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
582.554 -0.448757 2.75196 494.662 -0.596687 -1.10229 1012.31 1022.3 0.620307 0.484589 0.581454 0.558382 422.762 0.72198 0.0258794 1290.55 0.509656 92.9047
552.219 -0.921244 1.76033 352.211 -1.95024 -1.44451 1012.87 958.307 0.608082 0.601402 0.680582 0.684837 270.712 -2.22101 0.794539 1139.05 0.701228 92.9047
701.382 0.420253 2.77284 388.473 1.94451 -0.725073 1355.71 1331.8 0.524286 0.759173 0.624394 0.787504 372.847 -0.0177026 0.708248 1081.26 0.353804 92.9047
430.197 -0.912535 -0.666748 263.885 -0.330165 2.04606 706.366 662.584 0.577927 0.750592 0.322072 0.694003 308.725 -3.06733 1.18187 953.614 0.342049 92.9047
706.837 1.62642 1.46241 472.759 0.450448 2.94929 1075.63 1001.16 0.591964 0.643816 0.840713 0.52902 629.964 -1.0876 0.432794 1470.41 0.568202 92.9047
1022.07 -0.879422 2.74364 582.557 -0.101791 -1.3407 1526.13 1485.06 0.779638 0.488924 0.789549 0.703983 548.375 0.378576 0.0688393 1932.12 0.866671 92.9047
868.512 -0.747003 0.710344 -1 -1 -1 -1 488.659 0.742401 -1 0.594277 -1 892.831 -2.2757 1.73398 983.708 0.896211 92.9047
727.836 -1.20317 2.46783 540.864 0.344452 0.13936 1578.55 1575.79 0.696385 0.541131 0.876404 0.734272 328.883 -1.2822 0.516646 1482.9 0.707481 92.9047
593.165 -1.80102 1.48939 452.237 -0.848125 -0.612692 1044.62 1033.58 0.510483 0.677062 0.68075 0.642647 216.365 -2.18722 0.326817 1346.17 0.729466 92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5.42168 -2.41746 -1 0 -1 92.9047
831.678 -0.934443 1.28544 446.047 -1.62729 -2.67264 1200.95 1215.71 0.292377 0.528817 0.281507 0.271079 730.567 -1.216 0.115064 1553.47 0.813054 92.9047
517.664 -0.292575 -1.61266 -1 -1 -1 -1 631.137 0.640395 -1 0.514675 -1 501.697 1.06649 0.0291322 788.545 0.878393 92.9047
439.519 0.776836 0.219039 -1 -1 -1 -1 443.696 0.423128 -1 0.431046 -1 294.242 -2.60125 0.622968 633.631 0.803337 92.9047
-1 -1 -1 -1 -1 -1 -1 178.397 -1 -1 -1 -1 363.275 -0.36345 0.00604886 509.883 0.643398 92.9047
724.429 1.38746 2.18768 548.907 0.259798 -0.145406 1398.67 1340.58 0.630423 0.521891 0.728677 0.458219 553.406 -1.81899 1.65444 1252.63 0.918715 92.9047
656.103 -0.822569 -2.9364 355.403 0.0478368 0.669194 1098.57 954.561 0.38368 0.647381 0.42013 0.62155 389.48 -0.281346 0.942654 1002.43 0.510493 92.9047
562.879 1.64875 -0.974037 -1 -1 -1 -1 1381.9 0.588578 -1 0.588472 -1 691.879 1.89688 1.77242 775.387 0.943663 92.9047
542.19 0.177297 -1.35437 401.888 -1.0543 -2.67873 900.821 600.125 0.264025 0.5089 0.396188 0.383254 463.831 1.25232 0.0105075 1321.23 0.756506 92.9047
577.852 -0.46663 -0.711205 531.329 0.366856 1.17765 1046.64 929.242 0.357452 0.535019 0.660165 0.598493 213.178 2.78881 0.743866 1598.8 0.583547 92.9047
652.209 0.30859 0.142879 535.813 -0.646518 3.02652 1314.61 1306.65 0.17094 0.61508 0.448402 0.552437 103.094 -3.07833 0.187493 1919.89 0.172062 92.9047
756.903 -0.57447 -2.42162 684.177 -0.654728 1.45524 1351.64 1355.02 0.458483 0.691308 0.747954 0.606132 495.713 -0.285977 1.73842 1448.63 0.362872 92.9047
664.491 0.349095 3.01342 645.15 -0.215655 -0.750633 1336.23 1266.22 0.239738 0.646014 0.418399 0.399274 307.926 1.06442 0.293816 1435.3 0.942387 92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 19.9004 2.99572 -1 0 -1 92.9047
686.411 1.17679 -2.19677 461.128 1.14856 1.38334 1107.67 1111.02 0.761801 0.304249 0.650794 0.617494 201.144 2.03877 0.651937 1518.27 0.748696 92.9047
486.685 0.676362 -1.44784 333.58 0.588871 2.20713 789.336 777.418 0.158382 0.641575 0.526361 0.678743 257.902 0.480453 0.375835 987.978 0.721608 92.9047
797.727 0.173625 1.46369 613.536 0.679606 -2.18024 1412.6 1406.11 0.412916 0.199969 0.563479 0.80525 595.109 -0.474221 1.70707 1664.82 0.914062 92.9047
865 0.852015 1.96343 460.593 0.168877 -1.04324 1345.28 1318.33 0.537158 0.649629 0.468261 0.507937 367.628 -1.37353 0.0890713 1404.62 0.923088 92.9047
973.352 -0.759978 -1.81012 949.419 -0.898161 1.35597 1970.22 1803.22 0.322298 0.29253 0.419957 0.756478 126.673 0.399968 0.0721734 1980.57 0.946003 92.9047
489.787 -0.468204 -0.130385 343.302 1.47163 0.697075 989.521 988.86 0.657296 0.531948 0.761297 0.599184 312.805 3.10969 0.109066 1392.3 0.251693 92.9047
507.731 1.17722 -1.49719 392.389 0.588103 -0.265308 620.206 498.605 0.543993 0.501046 0.85685 0.753195 675.244 2.22014 0.328215 956.967 0.474015 92.9047
289.169 -0.208542 -1.2749 -1 -1 -1 -1 797.098 0.642227 -1 0.745706 -1 199.771 2.04243 0.615938 392.217 0.814934 92.9047
533.965 0.798147 -0.387218 -1 -1 -1 -1 554.531 0.60886 -1 0.667666 -1 337.869 2.39138 0.351063 861.596 0.47197 92.9047
1694.74 -0.770752 2.15786 1190.83 0.124604 -1.2945 3155.6 312.984 0.0348397 0.247679 0.412958 0.515503 590.164 -0.389636 0.157798 1237.93 0.994338 92.9047
704.774 1.14054 -0.141819 287.744 1.56606 2.51518 912.422 844.029 0.104494 0.665846 0.714029 0.79489 465.237 2.80493 0.285657 1166.03 0.523129 92.9047
