pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
1818.71 1.22626 -1.46727 765.415 -0.12321 1.47153 3002.9 2484.65 0.233127 0.620349 0.452281 0.809235 487.97 1.68065 0.20996 3197.54 0.313064 1.5571
1637.82 -0.0170039 -0.124316 1020.92 0.506821 2.49606 2708.62 2404.35 0.297097 0.445705 0.453815 0.617314 222.527 2.80334 0.21128 3915.81 0.964561 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 11.3706 0.653776 -1 0 -1 1.5571
1887.02 0.463794 2.26416 1110.07 -0.335379 -1.69572 2941.73 2849.16 0.566197 0.417857 0.720536 0.495137 800.821 -0.182263 0.147991 3772.05 0.604389 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8.06732 -1.49494 -1 0 -1 1.5571
380.444 -1.30015 -0.900932 366.918 -1.70485 2.18631 778.135 727.603 0.622836 0.654353 0.630778 0.775332 4.94948 -0.961992 0.0494099 711.532 0.0381623 1.5571
1717.17 0.665026 -2.16323 1184.13 -1.42003 1.06297 4570.67 4151.36 0.567425 0.531938 0.56511 0.769248 171.639 -0.00200947 0.420085 3853.17 0.968125 1.5571
-1 -1 -1 -1 -1 -1 -1 414.045 -1 -1 -1 -1 1.18085 1.19781 1.11406 408.626 0.0631542 1.5571
1229.35 0.163125 -3.10406 -1 -1 -1 -1 1198.13 0.412094 -1 0.25762 -1 933.169 -0.0176252 0.121272 1523.56 0.681566 1.5571
1013.78 -0.27014 -2.82494 961.112 -0.843261 -0.0839192 2029.12 2027.37 0.419555 0.590775 0.688963 0.5608 693.11 2.18747 0.0156074 2890.36 0.546806 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 11.6794 -2.85093 -1 0 -1 1.5571
324.322 0.784927 -1.75804 -1 -1 -1 -1 441.09 0.778535 -1 0.784796 -1 222.188 2.02129 0.00122523 761.716 0.689399 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 21.1422 -0.974277 2.76102 25.1137 1 1.5571
1381.77 0.356044 -0.83189 1261.54 -1.11637 2.89793 3314.27 3335.32 0.603493 0.213443 0.619013 0.353546 162.841 -3.12514 0.259384 3460.98 0.965345 1.5571
-1 -1 -1 -1 -1 -1 -1 156.707 -1 -1 -1 -1 101.799 1.32832 0.0158851 179.173 0.454935 1.5571
1434.84 -0.443172 0.174209 372.371 -0.794051 -2.17298 1402.3 1400.77 0.643411 0.469259 0.564428 0.720067 1197.76 3.01814 1.09257 1811.02 0.663003 1.5571
368.709 -1.04578 -2.1288 278.233 2.24906 2.3055 1692.3 1463.76 0.605895 0.512357 0.551875 0.903966 257.807 0.320596 0.173671 802.552 0.6543 1.5571
1113.15 -0.992868 2.23958 1062.17 -0.635244 -0.0722333 2031.57 2053.97 0.549508 0.36723 0.458321 0.343685 299.214 -1.86674 0.106691 3340.27 0.910194 1.5571
980.892 0.139456 2.73028 980.325 -0.0368029 0.341751 1928.97 1501.06 0.220484 0.167012 0.654737 0.768782 15.8943 -0.879464 0.0993254 2804.29 0.174025 1.5571
1808.38 -0.706134 -1.20379 1035.14 -1.56516 2.70135 2891.68 2576.21 0.466352 0.477062 0.561936 0.289513 1094.14 1.36561 0.0320895 3079.61 0.799173 1.5571
1072.45 -1.40343 0.13836 726.661 -0.300172 1.33151 1477.82 1306.72 0.59115 0.369216 0.846681 0.764582 1347.59 -2.42596 0.0566392 2024.4 0.490312 1.5571
-1 -1 -1 -1 -1 -1 -1 960.974 -1 -1 -1 -1 43.5832 1.15293 0.846423 507.868 0.736669 1.5571
1601.12 0.47488 -2.43351 1011.49 -1.26348 1.47388 3445.4 3444.56 0.610678 0.663014 0.508161 0.748291 704.623 0.710457 0.384646 3331.66 0.968904 1.5571
1123.42 -0.313576 -0.677245 987.108 0.519251 1.42214 2048.34 2050.35 0.416056 0.630479 0.404661 0.723285 312.844 -2.88186 0.0587895 2994.18 0.848924 1.5571
-1 -1 -1 -1 -1 -1 -1 134.184 -1 -1 -1 -1 41.8714 -2.44734 0.00920033 178.629 0.332042 1.5571
909.554 0.63296 -2.34353 802.851 -0.0316462 0.644759 1809.82 1825.03 0.592921 0.133552 0.825125 0.465717 23.0094 -2.98467 0.644227 2809.38 0.0975174 1.5571
1207.74 -0.0179408 3.10527 1111.42 -0.299382 -0.80844 2182.47 2180.58 0.664704 0.564699 0.530312 0.592858 89.5718 0.0645765 0.0763443 3367.21 0.765512 1.5571
1369.98 -0.50964 -1.87245 581.275 -1.75997 1.462 2189.15 2055.18 0.598646 0.549099 0.409917 0.391309 647.295 1.05275 0.0984486 2264.06 0.905461 1.5571
600.057 -1.4113 2.29846 479.749 -0.886458 -1.78133 1032.23 935.322 0.55116 0.586666 0.747388 0.702877 502.074 0.0527364 0.164726 1147.44 0.945484 1.5571
1890.72 -0.175028 -2.81203 1254.61 -0.809848 0.920025 3116.94 3137.25 0.647849 0.609196 0.711337 0.69323 1126.96 -0.444781 0.756585 3228.6 0.942459 1.5571
