pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
580.083 2.03755 2.7502 470.775 0.444046 2.24829 989.267 968.948 0.223084 0.859683 0.801278 0.791551 879.381 -0.587899 0.165437 1184.88 0.63673 1.5571
857.597 -0.347078 -2.66402 401.417 -1.1856 0.405802 1302.72 980.217 0.40626 0.453967 0.839715 0.805182 516.848 0.390405 0.0343753 1312.41 0.727258 1.5571
-1 -1 -1 -1 -1 -1 -1 96.3216 -1 -1 -1 -1 56.7243 0.564205 2.40343 68.7945 0.865887 1.5571
781.796 -1.03156 -2.02663 -1 -1 -1 -1 438.77 0.306968 -1 0.806278 -1 714 1.09489 0.234841 831.767 0.893707 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 18.5078 2.70977 -1 0 -1 1.5571
1279.96 0.241102 -2.16188 947.365 0.457896 0.231925 2067.12 2092.48 0.215358 0.587851 0.624777 0.687811 191.904 2.12975 0.155228 3072.85 0.559527 1.5571
309.988 0.820658 -1.70798 -1 -1 -1 -1 427.844 0.687517 -1 0.8604 -1 326.01 1.94575 0.944184 567.163 0.844739 1.5571
2262.11 -0.448703 2.92879 1048.08 0.0749786 -1.04559 3040.46 2762.48 0.427341 0.369309 0.617206 0.571714 1715.94 0.211101 1.20989 3395.72 0.559388 -1.5571
-1 -1 -1 -1 -1 -1 -1 83.4907 -1 -1 -1 -1 6.93934 3.08286 0.473338 73.8979 0.203009 1.5571
1094.33 -0.91779 -2.26399 887.869 0.437072 0.0849658 2349.19 2275.56 0.482915 0.775155 0.769294 0.837507 599.22 1.31062 1.21895 2358.89 0.401971 1.5571
1530.77 0.619841 2.4125 1339.34 0.277898 0.154219 2841.84 1986.88 0.2664 0.204877 0.52384 0.782612 534.428 -1.63288 0.156469 3638.29 0.939237 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 43.3201 -2.23209 2.78715 22.8627 1 1.5571
628.666 -0.991747 -1.72776 385.898 0.732922 -1.15886 1015.04 987.716 0.719706 0.366291 0.783366 0.724745 1088.12 1.79295 1.15448 1281.74 0.854211 1.5571
924.748 -0.729931 -1.49393 909.335 -0.0414948 1.17713 1901.63 1918.74 0.4652 0.510233 0.692608 0.869284 371.75 2.97293 0.622864 1893.84 0.926058 1.5571
687.638 0.0407081 -1.81796 -1 -1 -1 -1 292.423 0.624142 -1 0.829583 -1 658.592 1.46261 0.655805 773.378 0.916129 1.5571
1107.71 -0.254754 -0.765087 727.621 0.546278 1.44503 1774.94 1783.22 0.508776 0.187851 0.648483 0.533486 811.615 3.09627 0.171095 1909.45 0.954442 1.5571
1630.08 0.370111 2.51506 -1 -1 -1 -1 1091.59 0.592375 -1 0.576144 -1 1302.37 -0.631853 0.0304539 1952.82 0.958593 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 85.7084 -0.103199 3.08718 75.3177 1 1.5571
469.589 -1.2796 2.30264 438.966 -0.880329 -1.79855 843.444 806.236 0.730057 0.610437 0.82488 0.708477 161.451 0.32504 0.221928 1160.01 0.608536 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 51.5446 2.46833 3.10111 51.0166 1 1.5571
837.735 -0.597667 -2.16427 -1 -1 -1 -1 854.443 0.6926 -1 0.884656 -1 673.759 1.06675 0.389908 1107.7 0.605437 1.5571
1900.02 -0.130355 -2.85594 1259.65 -0.812512 1.03956 3107.18 3134.87 0.318315 0.438254 0.808706 0.67135 1148.26 -0.4732 0.0289041 3359.38 0.90823 1.5571
1404.08 -0.203456 0.598433 968.961 0.335746 -2.85093 2422.88 2402.67 0.580293 0.24735 0.737666 0.79361 77.4288 -1.92234 0.139704 3141.7 0.562454 1.5571
1353.45 0.210001 1.65119 848.041 -0.0249636 -1.65389 2184.75 2107.01 0.822704 0.516466 0.816473 0.69463 454.112 -0.858254 0.773605 2357.75 0.259681 1.5571
1164.53 1.51072 -2.99922 971.786 0.388625 0.466685 2501.35 2340.22 0.579697 0.555497 0.849887 0.774344 294.432 -0.47285 0.849031 2318.34 0.882694 1.5571
657.747 0.459729 1.63399 656.98 -0.453076 -1.68555 1511.83 1197.66 0.678513 0.506825 0.574717 0.698267 426.43 2.14281 0.153514 1832.21 0.903377 1.5571
979.801 0.531667 -2.83503 779.296 -0.199109 -0.0426907 1857.27 1809.88 0.450574 0.747191 0.537972 0.672494 385.296 0.801579 0.178058 1946.79 0.142851 1.5571
830.297 -0.740367 -0.0709969 -1 -1 -1 -1 -1 0.436581 -1 0.558308 -1 816.008 3.0764 3.13569 842.227 1 1.5571
1908.94 -1.25563 2.92043 532.408 0.568276 -0.448778 2930.35 2920.38 0.381937 0.821336 0.617332 0.654187 1110.95 -0.477385 0.03988 2974.78 0.57914 1.5571
677.551 2.17581 -2.30527 317.228 -0.799668 0.950885 2186.24 1738.5 0.452165 0.72658 0.802091 0.74628 299.636 0.740242 0.00261194 1049.53 0.862453 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6.30734 -2.17629 -1 0 -1 1.5571
-1 -1 -1 -1 -1 -1 -1 569.05 -1 -1 -1 -1 104.162 0.393146 1.10153 264.361 0.418992 1.5571
797.278 0.614644 2.75191 335.246 -1.45755 -0.170925 1705.58 1285.96 0.331539 0.885692 0.734423 0.716176 437.322 -0.557344 0.267408 1223.48 0.898179 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 16.7137 1.27749 -1 0 -1 1.5571
1111.67 -1.3344 -2.9862 353.032 0.552998 -2.24853 1460.48 1416.85 0.510889 0.767009 0.704141 0.72991 1366.28 0.335106 2.59659 1461.48 0.953394 1.5571
357.455 -1.68669 1.04394 -1 -1 -1 -1 388.469 0.610019 -1 0.856971 -1 552.622 -2.3423 2.06898 731.297 0.79652 1.5571
1842.91 -0.066909 2.16913 -1 -1 -1 -1 626.558 0.0836152 -1 0.705943 -1 1810.13 -0.937002 0.649333 2008.82 0.950632 1.5571
831.191 -0.303314 -1.79994 647.821 0.238165 1.43061 1562.6 1269.13 0.304001 0.713671 0.746352 0.780172 445.521 2.35609 0.924983 1976.45 0.626361 1.5571
839.296 0.203579 2.09168 683.117 -1.12995 0.0631384 1796.43 1606.08 0.246435 0.629088 0.729698 0.345955 401.775 -2.33963 0.495984 2064.79 0.698284 1.5571
406.996 -1.28068 1.86018 -1 -1 -1 -1 -1 0.749384 -1 0.772191 -1 384.293 -1.31434 3.1236 388.562 1 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 13.3648 0.289202 -1 0 -1 1.5571
965.754 0.125259 -1.78072 719.766 0.195618 0.757304 1603.89 1591.5 0.332441 0.7187 0.873698 0.681405 504.209 1.02774 0.262447 2731.3 0.332074 1.5571
350.884 -0.872106 2.513 -1 -1 -1 -1 329.623 0.603095 -1 0.851053 -1 246.469 -0.74481 0.364107 493.971 0.811025 1.5571
1456.46 -0.383757 1.05488 947.786 -0.150771 -0.77544 1903.58 1907.1 0.383865 0.123216 0.57271 0.733018 1029.6 -2.59567 0.124354 2929.96 0.969358 1.5571
918.673 0.234009 1.25023 904.108 -0.125325 -1.22859 1772.88 1753.32 0.525671 0.814961 0.776447 0.672663 335.933 -1.5626 0.343638 3205.96 0.18876 1.5571
1182.04 0.404363 2.84642 975.031 0.115253 -0.974787 2118.01 1912.29 0.711196 0.692872 0.69899 0.634589 708.068 -0.0179182 0.00135201 2734.18 0.854405 -1.5571
743.071 -0.802576 -2.00951 -1 -1 -1 -1 268.268 0.238515 -1 0.485908 -1 868.467 1.13374 2.58416 909.645 0.973275 1.5571
748.326 0.529188 -0.802657 -1 -1 -1 -1 667.618 0.755858 -1 0.710065 -1 752.469 2.50347 0.134329 1140.83 0.10451 1.5571
