pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
882.094 0.330164 1.98801 -1 -1 -1 -1 372.63 0.223265 -1 0.442783 -1 870.979 -1.17505 1.79106 930.089 0.965915 92.9047
844.243 -0.819331 -1.87292 689.284 -0.7522 1.17801 1591.99 1267.01 0.190286 0.649071 0.567152 0.495123 180.131 1.80813 0.618848 1555.12 0.148129 92.9047
623.481 -0.67682 -0.339336 450.347 0.45267 -2.53415 1144.23 1117.14 0.705453 0.406057 0.723524 0.434372 607.707 1.45764 0.089851 1419.23 0.927225 92.9047
380.015 -0.6175 0.878347 -1 -1 -1 -1 153.614 0.425064 -1 0.558101 -1 383.775 -2.12057 1.54544 410.312 0.931904 92.9047
1009.66 0.216339 1.3452 327.804 1.05538 -0.143236 930.143 927.303 0.64925 0.457334 0.673567 0.38645 950.095 -1.95693 1.02588 1547.86 0.783136 92.9047
1030.73 0.654163 0.0616683 725.792 0.775402 2.74579 1690.16 1713.86 0 0.622959 -1 0.662288 376.317 -2.40144 0.422281 1961.48 0.797659 -92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 35.3994 -2.99392 3.12311 45.9265 1 92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9.80411 -0.657574 -1 0 -1 92.9047
-1 -1 -1 -1 -1 -1 -1 234.067 -1 -1 -1 -1 163.897 -0.301699 0.710867 310.126 0.630561 92.9047
743.534 -0.10018 2.17335 -1 -1 -1 -1 1006.42 0.247163 -1 0.435281 -1 802.332 -0.915807 0.439837 924.698 0.86563 92.9047
593.383 -0.33854 1.87874 -1 -1 -1 -1 493.314 0.394374 -1 0.658549 -1 715.864 -1.39826 0.153187 977.215 0.592527 92.9047
1021.68 0.0892988 1.65329 516.22 0.521204 -2.88963 1173.36 1160.85 0.43176 0.216466 0.694188 0.400444 1007.31 -1.00588 0.259895 1588.52 0.311739 92.9047
761.744 -0.0659148 1.50681 588.672 -0.794796 -1.59554 1447 1422.23 0.101451 0.536443 0.543504 0.587266 206.756 -1.15604 0.440079 1344.72 0.14594 92.9047
543.177 0.413246 -1.09257 500.836 -0.355654 2.77194 1079.6 1033.24 0.458046 0.568477 0.765503 0.613026 322.999 0.364693 0.0984967 2149.7 0.174464 92.9047
840.947 0.100855 -1.18726 602.643 -0.986482 1.63331 1667.55 1365.91 0.39037 0.146998 0.642354 0.598742 110.958 2.58389 0.0683584 1594.56 0.762841 92.9047
607.252 -0.934499 -0.0882361 423.395 0.348784 1.8936 1106.39 1117.31 0.442763 0.145155 0.395119 0.645428 587.118 -2.50722 0.833298 1069.13 0.914491 92.9047
297.686 0.7363 2.65589 275.798 -0.71098 2.18811 478.882 465.916 0.543874 0.706423 0.680775 0.522331 544.644 -0.714103 2.8907 564.766 0.970494 92.9047
873.739 -0.951425 0.664506 802.504 0.0411755 -1.70608 1782.85 1807.57 0.346122 0.554544 0.267522 0.401416 341.96 2.79681 0.0684357 1965.43 0.724726 92.9047
557.824 -0.428831 1.1901 436.093 -1.62237 -3.09099 1044.7 1039.99 0.545941 0.74743 0.608925 0.795931 575.257 -1.17687 1.91532 991.595 0.551076 92.9047
1193.24 -0.675118 -1.71269 -1 -1 -1 -1 662.632 0.475949 -1 0.704238 -1 1238.63 1.25905 2.01685 1440.57 0.890505 92.9047
569.455 -1.27401 -0.61631 -1 -1 -1 -1 -1 0.403341 -1 0.616423 -1 587.119 2.52429 3.13912 575.02 1 92.9047
555.858 -0.327616 0.696651 -1 -1 -1 -1 923.594 0.110018 -1 0.454259 -1 709.723 -2.80445 0.853233 928.269 0.625151 92.9047
476.17 -0.0943738 1.14964 399.002 -0.952956 -0.144671 654.606 661.49 0.435857 0.577391 0.443226 0.702264 722.627 -2.52923 2.38638 886.124 0.800081 92.9047
904.63 -1.33172 2.2144 389.741 -2.10187 -0.646714 1270.39 1265.78 0.515973 0.787405 0.65396 0.518464 566.387 -1.14883 0.503749 1299.09 0.428078 92.9047
682.935 1.07513 1.10922 337.077 2.79452 -1.4886 1451.71 1186.94 0.163822 0.666907 0.738687 0.684518 184.967 -2.222 0.410192 1376.13 0.359222 92.9047
829.224 0.505334 -2.9182 508.908 1.71892 1.44445 1405.81 1113.75 0.407308 0.220228 0.515791 0.808227 647.17 -0.354621 0.159638 1559.72 0.746653 92.9047
699.899 -0.99826 -1.86342 666.951 -1.56173 1.36238 1423.07 1434.53 0.535333 0.472653 0.632285 0.647219 401.156 -0.42574 1.43854 1755.65 0.694092 92.9047
1081.31 -0.763929 -0.155519 970.175 -0.451064 2.5395 2041.79 2007.67 0.572502 0.506574 0.684069 0.70793 431.639 -2.20472 1.53905 2071.92 0.936528 92.9047
723.57 0.117824 1.26819 649.805 0.275351 -2.01706 1385.58 1363.93 0.510424 0.513265 0.659433 0.267622 220.359 -0.767635 1.24448 1389.87 0.0992939 92.9047
