pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
557.204 -0.357039 0.530852 546.599 0.626257 -2.31512 1258.08 0.535633 0.825358 0.661478 0.666929 134.505 0.23912 0.291732 2094.94
980.918 0.894659 -1.68921 670.561 0.597683 -0.383824 1017.1 0.504753 0.481308 0.815275 0.555274 292.434 1.89432 2.27814 2801.02
686.103 -0.905775 1.20787 553.465 0.00172694 2.95326 1116.89 0.631845 0.469545 0.473525 0.538273 159.339 -0.79576 2.00363 1969.15
706.029 -1.1367 -1.96777 571.618 -0.792154 1.76795 1307.97 0.194492 0.590763 0.798598 0.690312 126.707 -2.22879 0.261014 1767.81
449.942 -0.748458 2.60456 324.354 -0.0767107 -2.04825 651.934 0.682631 0.769761 0.740463 0.770112 163.153 0.294508 2.31005 1249.19
583.648 0.482412 2.1585 509.587 -0.10149 -0.502874 1159.64 0.34428 0.542843 0.850285 0.848295 128.539 0.117067 0.619941 2025.12
707.242 0.897128 -1.93261 362.942 1.71738 0.236177 1030.45 0.523177 0.634952 0.755362 0.848758 83.9319 2.2636 2.02742 1559.29
652.675 0.129537 2.2318 446.074 -0.799404 0.44803 1010.24 0.592856 0.701652 0.923036 0.836546 195.454 -1.99749 2.05389 1728.63
580.826 -0.229346 -1.53674 579.037 0.169577 2.1458 1220.93 0.685769 0.532537 0.812414 0.678924 55.284 1.94595 0.199852 1961.07
627.532 -0.634818 0.763783 580.996 -0.177578 2.89327 1122.92 0.612447 0.601834 0.582204 0.872245 246.526 3.03826 0.144987 2250.58
654.301 -0.180341 -1.96545 463.846 0.261899 0.0435708 990.543 0.419695 0.657347 0.69415 0.752736 187.308 2.15259 2.10902 1845.18
581.664 1.01913 3.10481 469.873 1.7601 0.950247 1007.88 0.838586 0.605855 0.795773 0.664437 62.7283 -1.04786 1.99811 1570.29
1044.09 0.830779 -1.31005 610.942 1.34074 -2.52251 1005.65 0.70307 0.131981 0.861967 0.72862 534.555 1.15784 2.46789 2571.34
702.771 -0.512359 0.955134 546.817 -0.181451 2.82728 1031.71 0.752619 0.667831 0.629297 0.725212 207.033 -1.11912 2.07425 1972.61
588.18 0.553687 1.09134 341.077 0.0578254 -1.90596 932.644 0.735211 0.845596 0.90893 0.784865 228.665 -1.4796 0.42636 1526.75
618.013 0.126485 -0.878647 439.39 0.445164 -1.89057 550.62 0.740485 0.875219 0.661812 0.74572 25.9287 1.97071 2.4219 2362.1
509.85 0.544961 0.178564 458.08 -0.480022 3.10456 1134.02 0.436492 0.832247 0.211295 0.78404 160.163 -0.0952042 0.273768 1211.22
724.492 0.354779 -0.131118 497.064 0.43689 2.47155 1241.78 0.328433 0.756172 0.757941 0.818505 143.265 -0.218316 0.087198 1714.14
358.457 0.591255 2.05785 330.953 1.50128 3.10423 482.882 0.738856 0.856505 0.588649 0.876845 146.426 -0.959967 2.21899 1283.32
777.262 0.927848 2.55307 615.573 1.27008 1.08855 974.013 0.796072 0.724177 0.899087 0.630919 346.966 -1.60783 2.12228 2507.69
653.117 1.06795 -0.00589447 631.848 -0.764511 -1.88567 1716.77 0.679521 0.74208 0.711143 0.72421 72.0456 2.27993 2.11759 2068.28
623.501 -0.041678 -2.09231 429.284 -0.815349 -0.0442017 1010.95 0.605931 0.341007 0.668307 0.662104 39.1525 1.89639 1.94059 1731.86
606.041 1.50821 1.06887 407.055 0.580987 -2.49311 1125.29 0.641705 0.595158 0.821662 0.741566 72.2903 -2.86814 0.375035 1820.03
406.248 1.10286 -0.476647 309.034 -0.980929 -2.11885 1026.05 0.614928 0.37157 0.83953 0.760256 241.662 1.72174 2.19839 1107.68
730.835 0.0410017 -1.9538 663.461 0.217485 0.411341 1388.47 0.556323 0.329834 0.575232 0.832132 38.2938 -2.00398 0.0501764 2014.85
456.423 1.0986 2.14788 349.532 1.93436 -2.94815 695.474 0.515027 0.843229 0.390667 0.763492 192.239 0.118675 2.0292 1368.82
675.125 0.550288 -0.928241 674.818 1.71344 2.47865 1712.21 0.619012 0.750498 0.287765 0.762885 289.856 -1.3408 0.412559 1952.89
467.687 -1.62415 -0.0251997 397.894 -0.068961 -0.843123 860.939 0.450102 0.541675 0.744855 0.581949 351.948 2.64536 2.67056 1454.24
617.735 0.23293 0.447058 432.981 2.06097 -2.14678 1541.2 0.345485 0.350723 0.608801 0.694341 80.1113 0.771974 0.324915 1454.27
527.496 0.954638 1.36743 441.862 0.274546 -0.145665 750.639 0.700583 0.883484 0.815256 0.812842 145.271 -2.35922 2.21356 1847.81
622.527 0.728966 -1.03537 357.341 -0.533906 -0.219353 750.547 0.673764 0.408271 0.704254 0.811058 314.262 2.46742 2.68677 1703.55
668.3 -0.386606 0.239979 503.479 -0.425269 2.84367 1238.35 0.0382083 0.320871 0.820478 0.717162 96.3819 2.96031 0.116639 1598.86
853.927 -0.659207 1.54377 673.104 -0.119189 -2.63429 1513.8 0.49088 0.645558 0.428893 0.764459 323.129 -0.586429 2.04786 2194.87
554.08 -0.241467 -1.6556 469.364 0.373953 2.55577 968.309 0.647189 0.369169 0.717145 0.927126 161.963 0.485934 2.06983 1517.39
674.515 -0.360352 2.40753 351.33 -1.46892 -0.470669 1221.52 0.156494 0.311828 0.87156 0.843657 267.609 -0.679094 0.208425 1706.44
759.925 1.43197 -2.86018 577.514 -0.133434 1.43762 1601.85 0.692087 0.948738 0.622668 0.643059 374.125 -0.658167 2.09578 2142.17
556.274 -0.0163276 -2.50686 399.226 1.04206 0.220447 1208.66 0.298329 0.353158 0.696564 0.689006 175.068 -2.24682 0.260044 1402.42
831.99 0.374777 1.11546 647.246 0.22458 -0.564729 1128.06 0.410384 0.421559 0.882988 0.869602 430.169 -2.7788 2.21407 2134.42
728.493 -1.03084 1.4454 402.467 0.873561 -2.26051 1651.91 0.283795 0.50918 0.833464 0.360314 185.486 -0.660203 1.60031 1698.38
739.917 0.180492 -2.16186 582.378 0.0883517 1.42584 1365.06 0.888146 0.248096 0.860257 0.824095 271.828 1.3538 0.0720336 1818.99
848.142 -0.30413 2.57616 763.6 -0.145716 -0.452105 1769.86 0.175322 0.566823 0.816077 0.668868 200.108 -0.574726 0.122621 1856.6
502.635 -0.00510355 3.08938 368.43 1.12883 -2.39988 657.48 0.318891 0.828685 0.829587 0.738225 56.5159 -2.7716 0.371722 1826.89
451.151 0.690311 -1.93383 428.401 0.128587 -0.282167 703.889 0.82356 0.773749 0.780046 0.757232 164.505 1.95728 2.23945 1395.96
575.176 -1.22714 1.75259 407.846 -0.72292 2.91896 598.885 0.713262 0.578837 0.717543 0.572668 242.1 -0.35548 2.10807 1801.92
807.533 1.12185 0.931301 700.942 0.836774 -1.47495 1544.93 0.45114 0.606372 0.553635 0.720907 69.8089 0.917456 0.0138445 2340.4
368.712 -0.781083 0.620099 351.384 1.00666 2.34264 922.333 0.65246 0.334001 0.694289 0.782314 228.324 -1.70378 2.23677 1320.99
488.494 -1.08395 0.558526 421.556 0.950382 -0.819881 1251.87 0.463459 0.736713 0.797157 0.776525 182.322 -2.88363 2.06374 1860.77
585.221 -0.280431 -0.944874 560.07 0.347809 3.00749 1206.19 0.236901 0.846408 0.768485 0.668756 139.272 -0.931004 0.0138706 1695.88
752.639 1.34539 2.98384 662.595 1.04188 1.34922 1168.11 0.680436 0.177313 0.725882 0.752948 354.36 -1.11723 2.18212 2158.75
786.615 -0.141981 -0.991768 629.524 0.247092 1.00186 1297.29 0.567649 0.767729 0.682571 0.80415 264.081 3.04733 2.04546 2405.66
730.721 -0.407421 0.7477 331.801 0.973399 -2.46442 1272.15 0.640371 0.368186 0.572344 0.701954 120.139 -1.66368 0.800742 1843.89
571.809 0.606246 -0.221339 452.481 1.39679 -2.73681 1113.79 0.260342 0.730704 0.729771 0.673931 162.507 0.0643849 0.285724 1469.37
525.878 0.00299643 0.527218 510.28 0.141602 -1.7685 977.432 0.525033 0.773498 0.401793 0.66995 203.393 1.5615 1.03428 2112.37
783.258 1.32713 -2.14029 483.777 1.02112 2.70893 861.279 0.630005 0.486056 0.793184 0.875792 52.1852 0.104475 2.24477 2333.37
506.321 0.718192 -0.773032 414.753 1.54015 -2.23496 744.73 0.810765 0.636525 0.831086 0.926846 173.664 1.49294 2.26597 1477.39
367.185 -0.322892 1.44005 316.378 1.641 1.98322 827.673 0.725761 0.267245 0.743088 0.811215 250.038 -0.6847 2.12475 1216.42
555.397 0.913566 -1.97019 501.39 -0.300697 0.762797 1284.21 0.810333 0.67353 0.60937 0.809393 81.7904 0.872761 0.109965 1752.32
570.677 -1.50844 2.10053 454.064 1.25358 -0.514799 2163.45 0.431437 0.650885 0.674976 0.715641 133.183 2.67153 0.571 1474.38
526.804 1.22901 -1.12428 438.761 -0.3917 -2.85516 1150.05 0.615815 0.582462 0.661648 0.739711 194.584 1.30671 2.12131 1438.63
591.852 0.847143 -0.662184 563.838 -0.505324 2.94606 1495.31 0.720862 0.654093 0.525198 0.768616 207.54 -1.22562 0.563439 1692.77
346.397 -1.45521 -3.01308 339.908 -0.604214 -1.59413 556.839 0.46841 0.69911 0.696382 0.810425 267.147 0.571768 2.1659 1212.18
620.303 -1.05512 0.175859 560.809 -0.119047 -1.71435 1127.14 0.79869 0.728852 0.790132 0.74152 208.091 2.44417 2.12467 1831.73
441.164 0.729928 -2.17638 342.93 0.514228 -1.16993 441.028 0.41228 0.690143 0.724337 0.834557 103.423 1.15729 2.32722 1901.7
426.245 0.111496 0.765707 398.321 -1.02981 -2.02458 1011.34 0.263121 0.562436 0.7538 0.603451 123.042 0.369821 0.395887 1103.32
854.982 1.24003 -2.6686 696.746 0.816514 0.417853 1686.38 0.238839 0.195279 0.650014 0.818047 189.555 0.924325 0.506473 1724.27
675.868 0.266468 -2.42776 620.837 -0.829893 -0.24266 1382.76 0.671951 0.832037 0.858714 0.749718 105.576 1.76115 2.00381 1822.67
641.075 -0.191865 -1.06816 569.495 -0.537952 1.48459 1225.58 0.743842 0.56072 0.72591 0.514054 22.0885 1.31417 0.170423 1972.5
680.937 -0.96829 -1.07681 431.699 -2.59131 0.903091 1370.5 0.819336 0.620275 0.776739 0.739238 303.033 3.02114 2.11805 1564.67
660.556 0.125244 0.171871 591.772 -0.0824637 -2.26543 1223.56 0.739307 0.43211 0.882163 0.684226 268.615 -2.31318 0.0477531 1856.37
583.109 -1.25588 -1.43601 505.406 0.181247 1.16994 1397.08 0.111123 0.766446 0.774535 0.656607 92.5984 -1.0525 0.38351 1476.85
819.43 0.178073 2.9149 806.612 1.20125 0.087165 1925.88 0.724652 0.581552 0.764221 0.451538 53.8414 0.114777 0.0276122 2443.79
612.819 1.08115 -0.903129 456.53 1.56285 1.20741 969.909 0.846234 0.662918 0.770093 0.823645 65.975 -3.0912 1.98458 1805.8
708.834 -1.31755 -1.81493 492.567 0.433602 1.19875 1691.81 0.780452 0.597136 0.879599 0.626294 76.9375 0.3896 0.809151 2042.27
537.441 -0.275966 1.25932 527.538 -0.754249 -2.00798 1128.35 0.500471 0.560312 0.641234 0.778343 82.8328 2.12359 0.864272 1958.86
