pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 50.8644 0.38351 1e+06 245.593 0.0996691 0.0148982
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 69.1754 -2.60308 1e+06 380.304 0.0996691 0.0146957
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 36.2364 2.50411 1e+06 149.571 0.0996691 0.0146911
1748.09 -1.36067 0.899351 1015.77 -0.816312 -2.44135 2804.93 0.285543 0.478458 0.814597 0.879142 145.77 -2.06717 0.374175 4479.28 0.0996691 0.0147287
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 41.2998 1.84763 1e+06 160.805 0.0996691 0.0148292
1710.99 0.0281915 -2.11632 1281.23 -0.71921 0.695964 3234.59 0.324038 0.788817 0.836535 0.625773 126.86 -1.99922 0.117103 3666.85 0.0996691 0.0146163
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 24.1398 0.800091 1e+06 221.627 0.0996691 0.0146939
618.102 2.16335 -1.25845 -1 -1 -1 -1 0.748399 -1 0.781597 -1 408.5 1.85564 3.11409 756.786 0.0996691 0.0143149
337.396 -0.584832 -2.08732 336.761 -2.78138 1.00768 1181.87 0.677584 0.738335 0.582381 0.801669 31.7025 1.75772 0.750039 660.109 0.0996691 0.0144293
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 90.3426 -2.47529 1e+06 259.602 0.0996691 0.0141273
391.071 2.57352 1.48768 387.185 0.0923442 -1.70947 1520.03 0.798212 0.675619 0.863158 0.807331 12.7203 -0.74281 0.966658 756.12 0.0996691 0.0141832
351.857 2.60992 0.126879 -1 -1 -1 -1 0.614038 -1 0.809132 -1 247.331 -3.01217 3.13905 501.207 0.0996691 0.0142752
2103.87 -0.474008 0.260581 1280.89 0.985109 -3.08506 4242.23 0.654208 0.83612 0.901695 0.823306 445.226 -2.96373 0.121338 4486.4 -0.0996691 0.0141102
1203.21 -1.6425 -2.2456 1187.46 -0.373758 0.945236 2951.36 0.809055 0.794068 0.832959 0.751287 48.0965 -0.0872969 1.03253 2432.91 0.0996691 0.0141837
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 34.5291 1.70069 1e+06 345.171 0.0996691 0.0142931
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 50.7446 0.221397 1e+06 130.289 0.0996691 0.0143656
440.455 -0.793476 -1.11443 426.322 -1.11488 2.0843 948.04 0.757305 0.504369 0.81964 0.807962 118.916 1.78685 0.297444 916.515 0.0996691 0.0144191
1258.22 0.842206 2.76455 719.395 -0.806356 -1.60361 2411.74 0.429717 0.765022 0.814999 0.838508 797.944 0.188961 1.79257 2328.88 0.0996691 0.0145272
305.368 0.744903 -0.973884 256.685 1.37039 2.2028 654.952 0.839959 0.713994 0.789926 0.704363 244.444 2.24886 0.0460646 572.867 0.0996691 0.014598
2043.13 0.165254 -2.11628 1381.09 0.171363 0.342366 3265.75 0.808024 0.63834 0.762602 0.734131 722.34 0.550675 0.208309 4480.26 0.0996691 0.0146868
1261.16 0.694489 -1.78608 1126.14 -0.89709 1.18483 3213.91 0.519488 0.547381 0.887738 0.793208 255.04 -2.10767 0.321582 2423.17 0.0996691 0.0147937
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 58.0536 2.82073 1e+06 330.389 0.0996691 0.0149003
2405.5 -1.08624 1.90472 1949.32 1.2344 -1.96497 7489.32 0.818621 0.477943 0.846839 0.792988 247.97 -0.23166 1.73331 5412.57 0.0996691 0.0148945
320.55 -0.800828 1.15641 309.196 0.580828 -1.78994 821.731 0.765426 0.715891 0.839111 0.830039 36.6633 1.72946 0.573051 647.207 0.0996691 0.0149072
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 51.3579 1.84637 1e+06 305.808 0.0996691 0.0147927
1685.56 0.59834 2.67912 949.924 1.75715 -1.30241 2888.82 0.765435 0.819166 0.819922 0.842251 497.729 -0.166697 1.13572 3373.1 -0.0996691 0.0141383
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 33.1546 3.07403 1e+06 249.306 0.0996691 0.0142384
258.31 2.68966 -1.9242 -1 -1 -1 -1 0.797117 -1 0.854833 -1 45.153 2.06261 2.29637 437.319 0.0996691 0.0142054
350.601 -1.67251 -1.60909 -1 -1 -1 -1 0.87074 -1 0.822631 -1 198.16 1.39819 3.00728 456.272 0.0996691 0.0142384
903.241 -1.31726 0.23405 882.602 -0.210216 1.79049 1720.26 0.852797 0.766865 0.83646 0.806543 93.7366 3.03914 1.24865 3499.98 0.0996691 0.0143038
340.132 -2.07269 0.867855 -1 -1 -1 -1 0.680813 -1 0.758705 -1 169.774 -2.14678 3.01464 513.369 0.0996691 0.0143196
253.001 -1.65063 1.51475 252.277 -1.93445 -1.56454 603.213 0.769132 0.778361 0.780442 0.789362 107.252 0.933986 0.580767 523.268 0.0996691 0.0144004
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 20.4385 1.58531 1e+06 262.441 0.0996691 0.0143344
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 136.415 2.42383 1e+06 249.841 0.0996691 0.0143979
272.298 0.726399 0.624719 -1 -1 -1 -1 0.682726 -1 0.861777 -1 125.976 -2.63074 3.02772 447.194 0.0996691 0.0144933
612.005 0.188196 1.4475 403.241 2.01283 -1.76839 1527.84 0.74104 0.830209 0.799292 0.800986 246.3 -1.00427 0.764123 1003.18 0.0996691 0.0145397
386.773 0.161697 -1.10326 287.224 0.71179 2.02769 772.021 0.709593 0.844971 0.858491 0.774044 149.226 -1.79456 0.691297 705.878 0.0996691 0.0142848
952.88 -0.78524 -2.22359 920.099 -0.853112 1.10588 1945.15 0.761814 0.701383 0.715132 0.778409 22.482 -0.0880737 1.19395 1916.77 0.0996691 0.0142538
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 16.2662 -1.07763 1e+06 171.984 0.0996691 0.0142536
2065.01 0.0488783 1.89372 1914.63 -0.926542 -1.70983 4407.82 0.79952 0.786263 0.73142 0.839728 235.027 1.35377 0.53995 5750.36 -0.0996691 0.0141322
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 45.9238 1.32764 1e+06 145.952 0.0996691 0.0141479
348.805 1.3177 -1.94374 296.344 -0.532516 1.11944 986.893 0.824229 0.78274 0.836252 0.789415 34.0682 2.04945 0.930009 621.744 0.0996691 0.0140893
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 55.9521 2.47711 1e+06 357.114 0.0996691 0.014164
1477.98 0.270166 -0.662073 814.068 -0.308047 2.34761 2341.51 0.778404 0.609897 0.634919 0.6753 292.834 2.37608 0.0284672 4140.14 0.0996691 0.0142088
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 40.2022 -0.013811 1e+06 310.686 0.0996691 0.014107
1488.44 0.281583 2.40937 1260.4 -0.929988 -0.725698 3373.98 0.577106 0.760785 0.586597 0.885244 237.185 -0.537847 0.187851 2778.23 0.0996691 0.0141223
1568.66 0.231077 0.257944 1561.32 -0.130285 2.70892 3071.1 0.627443 0.328564 0.741039 0.795369 1517.06 -2.35544 1.21882 3952.9 -0.0996691 0.0139922
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 112.96 2.76208 1e+06 398.975 0.0996691 0.0139236
