pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
1055.1 -0.789453 -0.197962 954.658 -0.444063 2.51881 2012.1 0.56075 0.379297 0.77087 0.799385 429.555 -2.25036 1.51402 2007.39 92.9047 9.04382
708.873 0.1536 1.37138 646.168 0.371199 -2.05141 1358.79 0.784839 0.364687 0.607269 0.773638 227.059 -0.708721 1.34269 1342.07 92.9047 9.0469
271.9 0.829785 2.47829 -1 -1 -1 -1 0.383915 -1 0.514825 -1 76.7559 -1.62592 2.17898 528.928 92.9047 9.00548
568.792 1.12857 -2.17229 561.717 -0.0196535 -0.228782 1164.42 0.42184 0.443219 0.684721 0.446446 650.939 1.94463 2.16626 1132.66 92.9047 8.93314
398.102 -0.342395 -1.40182 256.698 1.56292 -0.79034 733.445 0.629096 0.764103 0.580427 0.776887 622.871 2.05573 2.82563 698.765 92.9047 8.93739
268.322 -0.334651 0.122511 -1 -1 -1 -1 0.744553 -1 0.725443 -1 451.724 3.06671 2.9442 598.309 92.9047 8.89975
952.19 -0.040262 0.315671 928.606 -0.469554 -2.82688 1946.99 0.147188 0.072229 0.58412 0.274357 270.933 3.0325 0.423809 2135.45 92.9047 8.97682
787.99 0.168794 -2.79097 -1 -1 -1 -1 0.530666 -1 0.734799 -1 774.293 0.14546 2.93643 1006.51 92.9047 9.06387
575.452 0.0993948 0.401399 -1 -1 -1 -1 0.379528 -1 0.571656 -1 381.394 -2.9814 2.90039 851.336 92.9047 9.16113
779.62 0.72688 0.863602 599.151 -0.16416 -2.91696 1458.76 0.405115 0.664825 0.539439 0.475054 422.299 -1.41255 1.50441 1365.17 92.9047 9.17314
685.778 -0.587551 -1.40094 577.048 0.0336237 2.03133 1319.4 0.0279964 0.469167 0.303295 0.758043 226.7 0.850604 1.18073 1248.95 92.9047 9.11241
623.455 0.295805 1.67452 -1 -1 -1 -1 0.625411 -1 0.74816 -1 655.293 -1.63374 2.97492 824.387 92.9047 9.02385
796.778 -0.862806 -0.14098 534.644 -1.71987 -2.88756 1411.67 0.727255 0.677869 0.49958 0.548526 310.844 2.35414 1.04148 1326.87 92.9047 8.94861
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 52.231 0.884062 1e+06 49.2456 92.9047 8.97148
378.688 -1.99029 0.520752 -1 -1 -1 -1 0.354753 -1 0.620907 -1 356.561 -2.72129 3.04114 415.234 92.9047 8.96535
1014.89 -0.60657 1.91148 -1 -1 -1 -1 0.145996 -1 0.638918 -1 1013.2 -1.21596 3.12744 1065.77 92.9047 8.85723
684.015 -0.961055 2.67992 576.837 -0.185149 -1.28207 1298.64 0.592256 0.177348 0.560591 0.681796 401.385 1.0217 1.65822 1499.51 92.9047 8.87078
890.625 0.6147 0.236035 371.062 0.623497 2.94465 1131.89 0.397354 0.391726 0.371588 0.534735 562.99 -2.61602 0.722517 1258.08 92.9047 8.85704
435.782 0.251748 0.228241 431.382 -1.25514 0.14 730.905 0.553235 0.272989 0.806665 0.586926 394.012 3.08835 2.86011 1548.33 92.9047 8.93314
598.209 1.92864 0.0181936 524.372 0.480405 2.97013 1565.93 0.228293 0.487441 0.322609 0.571424 253.918 -0.323315 0.341508 1801.52 92.9047 8.86565
464.055 -1.85837 -2.32297 -1 -1 -1 -1 0.25573 -1 0.200848 -1 612.55 0.655754 2.97872 664.368 92.9047 8.83505
1039.62 -1.18095 -0.782822 -1 -1 -1 -1 0.349555 -1 0.725172 -1 967.348 2.29487 3.07769 1172.51 92.9047 8.89127
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 23.6735 -0.84906 1e+06 0 92.9047 8.96449
778.664 -0.252421 -1.1413 -1 -1 -1 -1 0.464082 -1 0.411128 -1 503.927 2.14491 2.99698 1149.73 92.9047 8.98498
